pfam02950	Conotoxin
pfam17837	4'-phosphopantetheinyl transferase N-terminal domain
pfam16329	Pestivirus envelope glycoprotein E2
pfam05308	Mitochondrial fission regulator
pfam10670	Domain of unknown function (DUF4198)
pfam13858	Protein of unknown function (DUF4199)
pfam17655	Inward rectifier potassium channel C-terminal domain
pfam19555	Family of unknown function (DUF6078)
pfam18158	Adaptive response protein AidB N-terminal domain
pfam09173	Initiation factor eIF2 gamma, C terminal
pfam01214	Casein kinase II regulatory subunit
pfam15331	Cellular tumour antigen p53-inducible 5
pfam17849	Dis3-like cold-shock domain 2 (CSD2)
pfam09945	Predicted membrane protein (DUF2177)
pfam03925	SeqA protein C-terminal domain
pfam00921	Borrelia lipoprotein
pfam00607	gag protein p24 N-terminal domain
pfam15303	E3 ubiquitin-protein ligase Arkadia N-terminus
pfam03143	Elongation factor Tu C-terminal domain
pfam09123	Domain of unknown function (DUF1931)
pfam07536	HWE histidine kinase
pfam08843	Nucleotidyl transferase AbiEii toxin, Type IV TA system
pfam09636	XkdW protein
pfam12961	Domain of unknown function (DUF3850)
pfam12899	Alkaline and neutral invertase
pfam15255	WASH complex subunit CAP-Z interacting, central region
pfam00971	EIAV coat protein, gp90
pfam03975	CheD chemotactic sensory transduction
pfam17916	LIM interaction domain (LID)
pfam17117	Domain of unknown function (DUF5104)
pfam18848	Bacterial archaeo-eukaryotic release factor family 6
pfam18525	Cas9 C-terminal domain
pfam19128	Family of unknown function (DUF5811)
pfam13148	Protein of unknown function (DUF3987)
pfam14214	Helitron helicase-like domain at N-terminus
pfam05076	Suppressor of fused protein (SUFU)
pfam10620	Phosphoribosyl-dephospho-CoA transferase MdcG
pfam15889	Domain of unknown function (DUF4738)
pfam17159	Membrane-associated sensor domain
pfam16379	Domain of unknown function (DUF4989)
pfam08979	Domain of unknown function (DUF1894)
pfam09917	Uncharacterized protein conserved in bacteria (DUF2147)
pfam09116	gp45 sliding clamp, C terminal
pfam17289	Terminase RNaseH-like domain
pfam03653	Uncharacterised protein family (UPF0093)
pfam16050	Paf1 complex subunit CDC73 N-terminal
pfam11407	Type II restriction enzyme MunI
pfam19537	Family of unknown function (DUF6061)
pfam14420	Clr5 domain
pfam17637	Family of unknown function (DUF5516)
pfam13087	AAA domain
pfam15722	FAM153 family
pfam10870	Protein of unknown function (DUF2729)
pfam01202	Shikimate kinase
pfam12195	Beta barrel domain of bacteriophage endosialidase
pfam17923	Tetracyclin repressor-like, C-terminal domain
pfam15185	Bcl-2-modifying factor, apoptosis
pfam09959	Uncharacterized protein conserved in archaea (DUF2193)
pfam11730	Protein of unknown function (DUF3297)
pfam17855	MCM AAA-lid domain
pfam01470	Pyroglutamyl peptidase
pfam19549	Family of unknown function (DUF6072)
pfam17649	Vacuolar protein sorting 38
pfam13529	Peptidase_C39 like family
pfam02132	RecR protein
pfam00807	Apidaecin
pfam07928	Vps54-like protein
pfam15658	Latrotoxin C-terminal domain
pfam12756	C2H2 type zinc-finger (2 copies)
pfam10319	Serpentine type 7TM GPCR chemoreceptor Srj
pfam12097	Protein of unknown function (DUF3573)
pfam18885	Repeat of unknown function (DUF5648)
pfam18217	Zap1 zinc finger 2
pfam10181	GPI-GlcNAc transferase complex, PIG-H component
pfam18038	FERM N-terminal domain
pfam19279	YegS C-terminal NAD kinase beta sandwich-like domain
pfam13185	GAF domain
pfam14891	Effector protein
pfam16662	FLYWCH-type zinc finger-containing protein 1
pfam06508	Queuosine biosynthesis protein QueC
pfam14969	Domain of unknown function (DUF4508)
pfam15529	Bacterial toxin 24
pfam08412	Ion transport protein N-terminal
pfam08001	CMV US
pfam20068	Amphi-Trp domain
pfam10357	Domain of Kin17 curved DNA-binding protein
pfam05653	Magnesium transporter NIPA
pfam08033	Sec23/Sec24 beta-sandwich domain
pfam06911	Senescence-associated protein
pfam18259	Carbohydrate binding module 65 domain 1
pfam16503	Zinc-ribbon
pfam19742	Family of unknown function (DUF6231)
pfam13722	5TM C-terminal transporter carbon starvation CstA
pfam07305	Protein of unknown function (DUF1454)
pfam15087	Protein of unknown function (DUF4551)
pfam16531	Centriolar protein SAS N-terminal
pfam01691	Adenovirus E1B 19K protein / small t-antigen
pfam17015	Domain of unknown function (DUF5094)
pfam03076	Equine arteritis virus GP3
pfam12354	Bacterial adhesion/invasion protein N terminal
pfam15148	Apolipoprotein F
pfam11565	Alpha helical Porin B
pfam18311	Exosome complex exonuclease Rrp40 N-terminal domain
pfam18189	TbRIF5 SNase domain 2
pfam04990	RNA polymerase Rpb1, domain 7
pfam13889	Chromosome segregation during meiosis
pfam16810	RXLR phytopathogen effector protein, Avirulence activity
pfam10094	Uncharacterized protein conserved in bacteria (DUF2332)
pfam00009	Elongation factor Tu GTP binding domain
pfam17498	Family of unknown function (DUF5433)
pfam10251	Presenilin enhancer-2 subunit of gamma secretase
pfam05975	Bacterial ABC transporter protein EcsB
pfam13255	Protein of unknown function (DUF4046)
pfam14333	Domain of unknown function (DUF4389)
pfam00563	EAL domain
pfam14301	Domain of unknown function (DUF4376)
pfam00814	tRNA N6-adenosine threonylcarbamoyltransferase
pfam17832	Pre-PUA-like domain
pfam06090	Inositol-pentakisphosphate 2-kinase
pfam13693	Winged helix-turn-helix DNA-binding
pfam03786	D-mannonate dehydratase (UxuA)
pfam05764	YL1 nuclear protein
pfam12573	2-oxoisovalerate dehydrogenase E1 alpha subunit N terminal
pfam02155	Glucocorticoid receptor
pfam19999	FtsH ternary system domain X3
pfam19861	Family of unknown function (DUF6335)
pfam00602	Influenza RNA-dependent RNA polymerase subunit PB1
pfam04338	Protein of unknown function, DUF481
pfam10568	Outer mitochondrial membrane transport complex protein
pfam03698	Uncharacterised protein family (UPF0180)
pfam07895	Protein of unknown function (DUF1673)
pfam17160	Domain of unknown function (DUF5124)
pfam09904	Winged helix-turn helix
pfam02578	Multi-copper polyphenol oxidoreductase laccase
pfam11414	Adenomatous polyposis coli tumour suppressor protein
pfam04402	Protein of unknown function (DUF541)
pfam16069	Domain of unknown function (DUF4811)
pfam05449	Putative 3TM holin, Phage_holin_3
pfam05700	Breast carcinoma amplified sequence 2 (BCAS2)
pfam11220	Protein of unknown function (DUF3015)
pfam05366	Sarcolipin
pfam02645	Uncharacterised protein, DegV family COG1307
pfam08488	Wall-associated kinase
pfam03384	Drosophila protein of unknown function, DUF287
pfam14207	DpnD/PcfM-like protein
pfam05295	Luciferase/LBP N-terminal domain
pfam05437	Branched-chain amino acid transport protein (AzlD)
pfam02817	e3 binding domain
pfam17104	Domain of unknown function (DUF5102)
pfam02285	Cytochrome oxidase c subunit VIII
pfam15777	Tryptophan RNA-binding attenuator protein inhibitory protein
pfam09960	Uncharacterised protein conserved in bacteria (DUF2194)
pfam15232	Domain of unknown function (DUF4585)
pfam04270	Streptococcal histidine triad protein 
pfam18483	Bacterial lectin
pfam07199	Protein of unknown function (DUF1411)
pfam04011	LemA family
pfam13777	Domain of unknown function (DUF4173)
pfam02394	Interleukin-1 propeptide
pfam11651	P22 coat protein - gene protein 5
pfam03437	BtpA family
pfam04540	Herpesvirus UL51 protein
pfam17453	Sigma-M inhibitor
pfam12309	KIF-1 binding protein C terminal
pfam13232	Complex1_LYR-like
pfam14950	Domain of unknown function (DUF4502)
pfam00054	Laminin G domain
pfam03700	Sorting nexin, N-terminal domain 
pfam18260	Nuclear polyadenylated RNA-binding 2 protein CCCH zinc finger 1
pfam17042	Nucleotide-binding C-terminal domain
pfam03449	Transcription elongation factor, N-terminal
pfam09429	WW domain binding protein 11
pfam06874	Firmicute fructose-1,6-bisphosphatase
pfam07458	Sperm protein associated with nucleus, mapped to X chromosome
pfam03295	Poxvirus trans-activator protein A1 C-terminal
pfam03366	YEATS family
pfam05384	Sensor protein DegS
pfam00291	Pyridoxal-phosphate dependent enzyme
pfam02248	Small coat protein
pfam02057	Glycosyl hydrolase family 59
pfam02796	Helix-turn-helix domain of resolvase
pfam05698	Bacterial trigger factor protein (TF) C-terminus
pfam16867	Dimethlysulfonioproprionate lyase
pfam11141	Protein of unknown function (DUF2914)
pfam19715	Family of unknown function (DUF6210)
pfam04851	Type III restriction enzyme, res subunit
pfam06624	Ribosome associated membrane protein RAMP4
pfam12683	Protein of unknown function (DUF3798)
pfam02019	WIF domain
pfam15693	Mediator complex subunit 26 C-terminal
pfam00397	WW domain
pfam12243	CTD kinase subunit gamma CTK3
pfam08299	Bacterial dnaA protein helix-turn-helix
pfam05786	Condensin complex subunit 2
pfam18204	PGF-CTERM motif
pfam08445	FR47-like protein
pfam03764	Elongation factor G, domain IV
pfam11851	Domain of unknown function (DUF3371)
pfam17293	Arm DNA-binding domain
pfam06566	Chondroitin sulphate attachment domain
pfam20006	YukD-like N-terminal domain
pfam03455	dDENN domain
pfam06674	Protein of unknown function (DUF1176)
pfam00451	Scorpion short toxin, BmKK2
pfam07298	NnrU protein
pfam07746	Aromatic-ring-opening dioxygenase LigAB, LigA subunit
pfam09479	Listeria-Bacteroides repeat domain (List_Bact_rpt)
pfam08417	Pheophorbide a oxygenase
pfam19739	Family of unknown function (DUF6228)
pfam01950	Fructose-1,6-bisphosphatase
pfam16667	Unstructured region 10 on multiple PDZ protein
pfam18212	ZNRF-3 Ectodomain
pfam04651	Poxvirus A12 protein
pfam12883	Protein of unknown function (DUF3828)
pfam12092	Protein of unknown function (DUF3568)
pfam11540	Cytoplasmic dynein 1 intermediate chain 2
pfam06824	Metal-independent alpha-mannosidase (GH125)
pfam15082	Domain of unknown function (DUF4549)
pfam08459	UvrC RIbonuclease H-like domain
pfam15893	Domain of unknown function (DUF4739)
pfam19747	Family of unknown function (DUF6234)
pfam13727	CoA-binding domain
pfam07344	Amastin surface glycoprotein
pfam02035	Coagulin
pfam02888	Calmodulin binding domain
pfam01207	Dihydrouridine synthase (Dus)
pfam16741	mRNA-decapping enzyme C-terminus
pfam15727	Domain of unknown function (DUF4678)
pfam02149	Kinase associated domain 1
pfam07489	Translocated intimin receptor (Tir) C-terminus
pfam13893	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
pfam13082	Protein of unknown function (DUF3931)
pfam18193	Fibrillin 1 unique N-terminal domain
pfam00614	Phospholipase D Active site motif
pfam17632	Family of unknown function (DUF5513)
pfam19532	Transmembrane protein 131-like
pfam11402	Antifungal protein
pfam04220	Der GTPase activator (YihI)
pfam20080	ALTTAQ repeat
pfam09912	Uncharacterized protein conserved in bacteria (DUF2141)
pfam19661	Family of unknown function (DUF6164)
pfam11270	Protein of unknown function (DUF3070)
pfam17561	Type VI secretion system, TssO
pfam00802	Pneumovirus attachment glycoprotein G
pfam02137	Adenosine-deaminase (editase) domain
pfam07695	7TM diverse intracellular signalling
pfam09595	Metaviral_G glycoprotein
pfam08198	Thymopoietin protein
pfam11011	Protein of unknown function (DUF2849)
pfam03898	Satellite tobacco necrosis virus coat protein
pfam02936	Cytochrome c oxidase subunit IV
pfam12516	Protein of unknown function (DUF3719)
pfam17112	Mitochondrial import receptor subunit Tom6, fungal
pfam00134	Cyclin, N-terminal domain
pfam02659	Putative manganese efflux pump
pfam02845	CUE domain
pfam01333	Apocytochrome F, C-terminal
pfam01301	Glycosyl hydrolases family 35
pfam05455	GvpH
pfam04414	D-aminoacyl-tRNA deacylase
pfam02617	ATP-dependent Clp protease adaptor protein ClpS
pfam11338	Protein of unknown function (DUF3140)
pfam06584	DIRP
pfam12523	Protein of unknown function (DUF3725)
pfam02387	IncFII RepA protein family
pfam01253	Translation initiation factor SUI1
pfam11039	Protein of unknown function (DUF2824)
pfam16717	Ribosome-associated complex head domain
pfam09190	DALR domain
pfam19865	Family of unknown function (DUF6338)
pfam13568	Outer membrane protein beta-barrel domain
pfam03602	Conserved hypothetical protein 95
pfam00698	Acyl transferase domain
pfam07891	Protein of unknown function (DUF1666)
pfam07969	Amidohydrolase family
pfam11258	Protein of unknown function (DUF3048) N-terminal domain
pfam11047	Salmonella outer protein D
pfam00786	P21-Rho-binding domain
pfam16759	DNA ligase 3 BRCT domain
pfam02151	UvrB/uvrC motif
pfam03563	Bunyavirus glycoprotein G2
pfam03814	Potassium-transporting ATPase A subunit
pfam05397	Mediator complex subunit 15
pfam08114	ATPase proteolipid family
pfam10693	Protein of unknown function (DUF2499)
pfam14305	TupA-like ATPgrasp
pfam19169	Family of unknown function (DUF5851)
pfam04015	Domain of unknown function (DUF362) 
pfam17990	L-Lysine epsilon oxidase N-terminal
pfam11188	Protein of unknown function (DUF2975)
pfam14493	Helix-turn-helix domain
pfam02281	Transposase Tn5 dimerisation domain
pfam00384	Molybdopterin oxidoreductase
pfam05291	Bystin
pfam02641	Uncharacterized ACR, COG1993
pfam08634	Mitochondrial protein Pet127
pfam01183	Glycosyl hydrolases family 25
pfam04498	Poxvirus nucleic acid binding protein VP8/L4R
pfam05054	Autographa californica nuclear polyhedrosis virus (AcMNPV) protein
pfam18342	Endo-beta-N-acetylglucosaminidase LytB WW domain
pfam00295	Glycosyl hydrolases family 28
pfam03291	mRNA capping enzyme
pfam14536	Domain of unknown function (DUF4441)
pfam00366	Ribosomal protein S17
pfam11837	Domain of unknown function (DUF3357)
pfam04117	Mpv17 / PMP22 family 
pfam00700	Bacterial flagellin C-terminal helical region
pfam03054	tRNA methyl transferase
pfam12376	Protein of unknown function (DUF3654) 
pfam00449	Urease alpha-subunit, N-terminal domain
pfam04916	Phospholipase B
pfam16896	Phosphogluconate dehydrogenase (decarboxylating) C-term
pfam02767	DNA polymerase III beta subunit, central domain
pfam11849	Domain of unknown function (DUF3369)
pfam07214	Protein of unknown function (DUF1418)
pfam10232	Mediator of RNA polymerase II transcription complex subunit 8
pfam04159	NB glycoprotein
pfam11655	Protein of unknown function (DUF2589)   
pfam10777	Inner membrane protein YlaC
pfam00437	Type II/IV secretion system protein
pfam04289	Protein of unknown function (DUF447)
pfam20029	Domain of unknown function (DUF6436)
pfam00764	Arginosuccinate synthase
pfam01978	Sugar-specific transcriptional regulator TrmB
pfam08441	Integrin alpha
pfam03397	Rhabdovirus matrix protein
pfam12774	Hydrolytic ATP binding site of dynein motor region
pfam04923	Ninjurin 
pfam05814	Orf76 (Ac76)
pfam02434	Fringe-like
pfam05563	Salmonella plasmid virulence protein SpvD
pfam04637	Herpesvirus phosphoprotein 85 (HHV6-7 U14/HCMV UL25)
pfam07420	Protein of unknown function (DUF1509)
pfam04855	SNF5 / SMARCB1 / INI1
pfam19711	Family of unknown function (DUF6207)
pfam16552	D-ornithine 4,5-aminomutase alpha-subunit
pfam11973	NQRA C-terminal domain
pfam14928	Short tail fibre protein receptor-binding domain
pfam15568	Immunity protein 39
pfam11145	Protein of unknown function (DUF2921)
pfam04649	Mycoplasma hyorhinis VlpA repeat 
pfam06942	GlpM protein
pfam05602	Cleft lip and palate transmembrane protein 1 (CLPTM1)
pfam00455	DeoR C terminal sensor domain
pfam11923	NFACT protein C-terminal domain
pfam07202	T-complex protein 10 C-terminus
pfam03451	HELP motif
pfam19268	Contractile injection system tape measure protein
pfam11637	UvsW.1 domain
pfam17407	Nrap protein domain 6
pfam02318	FYVE-type zinc finger
pfam11289	Betacoronavirus viroporin
pfam16788	ATF-interacting protein binding domain
pfam05134	Type II secretion system (T2SS), protein L
pfam14978	Mitochondrial ribosome protein 63
pfam09263	Peroxisome biogenesis factor 1, N-terminal 
pfam16696	Zinc finger FYVE domain-containing protein 21 C-terminus
pfam01928	CYTH domain
pfam20079	Family of unknown function (DUF6474)
pfam11649	Virus neck protein
pfam04145	Ctr copper transporter family
pfam07470	Glycosyl Hydrolase Family 88
pfam12313	NPR1/NIM1 like defence protein C terminal
pfam11855	Protein of unknown function (DUF3375)
pfam06783	Uncharacterised protein family (UPF0239)
pfam17730	Centrosomal C10orf90 
pfam04973	Nicotinamide mononucleotide transporter
pfam12724	Flavodoxin domain
pfam09406	Protein of unknown function (DUF2004)
pfam11117	Protein of unknown function (DUF2626)
pfam11916	Vacuolar protein 14 C-terminal Fig4p binding
pfam13352	Protein of unknown function (DUF4100)
pfam02031	Streptomyces extracellular neutral proteinase (M7) family
pfam05614	Circovirus protein of unknown function (DUF782)
pfam01536	Adenosylmethionine decarboxylase
pfam08044	Domain of unknown function (DUF1707)
pfam04837	MbeB-like, N-term conserved region
pfam10727	Rossmann-like domain
pfam12008	Type I restriction and modification enzyme - subunit R C terminal
pfam11159	Protein of unknown function (DUF2939)
pfam04655	Aminoglycoside/hydroxyurea antibiotic resistance kinase
